Identifiant;Titre;Date;Auteur;PaysENG;Source;Issn;Vl;Num;Pagination;Langue;Resume;Thematique;TNP;SousThematique;STNP;MotCle;Url
PASCAL/FRANCIS:12-0119544;The Wire as Social Science-fiction?;2011;"BEER (David); BURROWS (Roger); PENFOLD-MOUNCE (Ruth)";UNITED KINGDOM;Sociology : (Oxford. Print);0038-0385;45;1;152-167;Anglais;<Resume>This article examines the HBO television series The Wire as an example of a popular cultural form that stimulates the sociological imagination. It provides some examples of how it functions to do this. A brief case study of one character - 'Snoop'- is examined to illustrate a set of more general observations. It is suggested that The Wire, although still containing strong narrative elements, provides an intriguing popular cultural example of what Andrew Abbott has recently called a 'lyrical sociology'.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Culture populaire; Etude de cas; Imagination sociologique; Motif narratif; Série télévisée";http://dx.doi.org/10.1177/0038038510387199
PASCAL/FRANCIS:12-0105393;"""You talking to me?"" The viewer as a ratified listener to film discourse";2011;DYNEL (Marta);POLAND;Journal of pragmatics;0378-2166;43;6;1628-1644;Anglais;"<Resume>The paramount objective of this article is to propose an extension of the dyadic model of communication in the context of film discourse and to present the film viewer as a hearer type. Contrary to the prevalent claim that viewers of films (and TV programmes) are overhearers, a thesis will be expounded that the film viewer is a ratified hearer, i.e. the ""recipient"". This postulate is premised on the conceptualisation of the overhearer in ordinary interactions, as well as twofold layering (fictional and collective sender's) and two communicative levels (characters' and the recipient's) peculiar to film discourse. Thanks to the recipient design implemented by the film crew (the collective sender) with recourse to discursive and cinematographic strategies, the recipient gleans meanings conveyed on the inter-character level. To illustrate the workings of the recipient design, the paper closes with a discussion of a few excerpts from a famous TV series entitled ""House, MD"".</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Auditeur; Communication; Discours; Film; Modèle; Pragmatique";http://dx.doi.org/10.1016/j.pragma.2010.11.016
PASCAL/FRANCIS:12-0081869;Gender and Race Portrayals on Spanish-Language Television;2011;RIVADENEYRA (Rocio);UNITED STATES;Sex roles;0360-0025;65;3-4;208-222;Anglais;<Resume>Gender and racial stereotypes continue to permeate our society and one context in which these stereotypes are perpetuated are the media. Although we have a history of content analysis of gender and racial portrayals on English-language television aired in the U.S., few systematic analyses have been conducted on Spanish-language television that airs in the same country. Our team of coders analyzed 466 characters and 481 2-minute intervals on 19 episodes of Spanish-language soap operas or telenovelas that aired in the Los Angeles broadcast area of the U.S. in the summer of 2002. Telenovelas were the programming type selected as they make up the bulk of Spanish-language network television in the U.S. The programs were coded in terms of how gender and race are presented on these programs by first coding the characteristics of speaking characters (including their race and gender) and then coding what actions these characters displayed in 2-minute intervals. Although females and males were represented in equal numbers, gender stereotypes abound. Physical appearance and nurturing roles were more likely to be the focus for female characters while occupational roles were more likely to be the focus for male characters. In terms of race, the overwhelming majority of characters were light-skinned and characters with darker skin were portrayed in extremes and more sexualized. These representations replicate some of the same stereotypes found on English-language television with some notable differences in terms of number of women represented.</Resume>;FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOLOGY. PSYCHOPHYSIOLOGY;Psychology. Psychophysiology;"Analyse contenu; Analyse qualitative; Anglais; Apparence physique; Espagnol; Genre; Homme; Inglés; Race; Rôle sexuel; Sexe; Stéréotype; Télévision; Amérique Latine; Etats-Unis";http://dx.doi.org/10.1007/s11199-011-0010-9
PASCAL/FRANCIS:12-0081852;Depictions of Tobacco Use in 2007 Broadcast Television Programming Popular Among US Youth;2011;"ALLEN (Jane A.); CULLEN (Jennifer); HEALTON (Cheryl); SLAWEK (Deepika); SOKOL (Natasha A.); VALLONE (Donna)";UNITED STATES;Archives of pediatrics & adolescent medicine;1072-4710;165;2;147-151;Anglais;<Resume>Objectives: To determine the quantity of tobacco use in network television programming popular among US youth and to examine variation in tobacco depictions by TV Parental Guidelines system rating and television network. Design: A content analysis was conducted of broadcast network television programming popular among youth. Nielsen viewership rating data were used to identify a sample of top-rated television series for youth aged 12 to 17 years during the fall 2007 television season. Depictions of tobacco use per television episode were examined by TV Parental Guidelines rating and television network. ?</Resume>;MEDICAL SCIENCES;Medical Sciences;"MEDICAL SCIENCES. GENERAL ASPECTS; PUBLIC HEALTH. HYGIENE-OCCUPATIONAL MEDICINE; TOXICOLOGY";"Medical Sciences. General Aspects; Public Health. Hygiene-Occupational Medicine; Toxicology";"2007; Adolescent; Cigarette; Cigarrillo; Programmation; Pédiatrie; Santé publique; Tabagisme; Télévision; Utilisation; Etats-Unis";http://dx.doi.org/10.1001/archpediatrics.2010.276
PASCAL/FRANCIS:11-0490729;On split Dynamic Time Warping for robust Automatic Dialogue Replacement;2012;"SOENS (Pieter); VERHELT (Werner)";BELGIUM;Signal processing;0165-1684;92;2;439-454;Anglais;<Resume>In this article, we present LipSynch, a software tool that can be used for the automatic replacement of speech dialogues in motion pictures, video or television series. The system operates in two steps: during analysis, the timing relationships between the speech segments of the dialogues that serve as a timing reference and the corresponding speech segments in the replacement dialogues are measured by means of a split Dynamic Time Warping algorithm. The obtained warping paths are then processed and used to synthesize high-quality natural-sounding speech dialogues that are precisely time-synchronized with the reference dialogues. Subjective audio-visual listening tests performed within the context of a difficult Automatic Dialogue Replacement task demonstrated that LipSynch achieves a significant improvement compared to the industry-standard benchmark VocALign, both in terms of achieved lip-synchronization accuracy as well as in overall speech quality of the synthesized dialogues.</Resume>;APPLIED SCIENCES;Applied Sciences;TELECOMMUNICATIONS AND INFORMATION THEORY;Telecommunications and Information Theory;"Algorithme; Contrôle visuel; Evaluation subjective; Gauchissement; Image mobile; Outil logiciel; Précision; Qualité sonore; Simulation Time Warp; Synchronisation; Traitement signal; Télévision";http://dx.doi.org/10.1016/j.sigpro.2011.08.008
PASCAL/FRANCIS:11-0486902;Le paradigme du déni social de la mort à l’épreuve des séries télévisées. Mise en scène et mise en sens de la mort;2011;JULIER-COSTES (Martin);FRANCE;Etudes sur la mort;1286-5702;;139;145-163;Français;<Resume>À l'inverse des thèses du déni social de la mort encore dominantes aujourd'hui, cet article démontre que les séries télévisées sont des tentatives de mise en sens de la mort. L'analyse d'une quinzaine d'entre elles a permis d'identifier des figures de la mort contemporaine. Classées en deux groupes: les experts et les intermédiaires, ces figures révèlent des lieux et des personnes d'une société certes scientifique et technicienne mais qui, par ailleurs, ne peut s'empêcher d'interroger la mort.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Déni; Expert; Intermédiaires; Mise en scène; Mort; Paradigme; Refus; Représentation; Sens; Signification; Série télévisée";http://dx.doi.org/10.3917/eslm.139.0145
PASCAL/FRANCIS:11-0482598;HOW YOU GUYS DOIN'? STAGED ORALITY AND EMERGING PLURAL ADDRESS IN THE TELEVISION SERIES FRIENDS;2010;HEYD (Theresa);UNITED STATES;American speech;0003-1283;85;1;33-66;Anglais;"<Resume>This study explores the sociolinguistics of mediated discourse and the use of ""staged orality"" in such genres. It involves a corpus-driven approximation of you guys as an emerging quasi pronoun for second-person plural address based on dialogue transcriptions of the sitcom Friends. With its 10-year time span and close interactions between its six young New Yorkers, the Friends corpus is a good locus to monitor linguistic variation and change. An overall analysis reveals that you guys is much more frequent here than in other genres and shows a modest increase over time. Syntactically, you guys is found to increase in more involved constructions. In terms of gender, you guys is shown to be equally distributed between men and women-both with regard to the speakers' identity and to the semantic referent. In sum, these findings shed light both on you guys as a candidate for second-person plural address and on the specific discursive conditions of the staged orality found in genres such as television sitcoms.</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Anglais; Catégorie de sexe; Changement linguistique; Discours; Pronom; Sociolinguistique; Syntaxe; Télévision; Variation linguistique; Variation syntaxique";http://dx.doi.org/10.1215/00031283-2010-002
PASCAL/FRANCIS:11-0473778;American television fiction transforming Danish teenagers' religious imaginations;2010;PETERSEN (Nybro);;Communications : (Sankt Augustin);0341-2059;35;3;229-247;Anglais;"<Resume>This paper argues that American television fiction with supernatural themes offers Danish teenage audiences a playground for exploring different religious imaginations in a continuous process of internal negotiations; thereby transforming their imaginations. This process of the mediatization of religion is strengthened by three dominating factors: the absence of a homogenous religious worldview in Danish culture, the importance of high production values and visual credibility to supernatural concepts in these shows, and the appeal of transformed religious content in open-structured serial narratives. This essay presents the findings of an empirical qualitative study of seventy-two Danish teenagers and considers two primary parameters for the case-based reception study: the teenagers' levels of fandom and their connection with institutionalized religion. In other words, how are religious imaginations transformed in relation to viewers' level of commitment to the television fiction and to traditional institutionalized religion ?</Resume>";SCIENCES AND TECHNIQUES OF GENERAL USE;Sciences and Techniques of General Use;INFORMATION SCIENCE. DOCUMENTATION;Information Science. Documentation;"Adolescent; Danés; Imagination; Interaction sociale; Médiatisation; Religion; Série télévisée";http://dx.doi.org/10.1515/COMM.2010.013
PASCAL/FRANCIS:11-0437891;Depiction of Seizure First Aid Management in Medical Television Dramas;2011;"MOELLER (Andrew D.); MOELLER (Jeremy J.); RAHEY (Susan R.); SADLER (R. Mark)";"CANADA; UNITED STATES";Canadian journal of neurological sciences;0317-1671;38;5;723-727;Anglais;"<Resume>Objectifs: Le but de cette étude était d'examiner si les premiers soins à administrer lors d'une crise convulsive sont représentés correctement dans les séries médicales télévisées. Méthode: Nous avons recherché les crises convulsives dans des épisodes des quatre drames médicaux américains les mieux cotés (""Grey's Anatomy"", ""House M.D."", ""Private Practice"" et ""ER""). L'âge, le sexe, la séméiologie du ""patient"" ainsi que l'étiologie ont été notés. La convenance des premiers soins administrés a été déterminée en se servant des lignes directrices de la Epilepsy Foundation of America (EFA) comme point de référence. Résultats: Nous avons relevé 65 crises convulsives (chez 59 individus - 30 hommes et 29 femmes) au cours de 364 émissions. Les crises convulsives étaient des crises toniques-cloniques généralisées primaires ou secondairement généralisées chez 53 individus (81,5%). Les autres types de crises convulsives étaient des crises partielles complexes (5 individus, 7,7%), partielles simples (chez 1 individu, 1,5%), myocloniques (1 individu, 1,5%), des absences (1 individu, 1,5%) et psychogéniques (1 individu, 1,5%). À 63 reprises (96,9%), les premiers soins ont été fournis par un professionnel de la santé. L'administration des premiers soins a été jugée appropriée dans 21 cas de crises convulsives (32,3%), inappropriée dans 28 cas (43,1%) et indéterminée dans 16 cas (24,6%). Voici quelques unes des pratiques inappropriées: maîtriser le patient (17, 26,2%), essayer d'arrêter les mouvements involontaires (10, 15,4%) et mettre quelque chose dans la bouche du patient (11, 16,9%). Conclusions: Les premiers soins administrés lors d'une crise convulsive par des acteurs qui jouent le rôle de professionnels de la santé étaient inappropriés dans presque la moitié des cas. Une représentation inexacte des premiers soins lors d'une crise convulsive peut contribuer à ce que le grand public soit mal informé. L'industrie de la télévision pourrait facilement inclure des premiers soins simples conformes aux lignes directrice de l'EFA comme service publique, sans sacrifier l'impact dramatique des émissions.</Resume>";MEDICAL SCIENCES;Medical Sciences;NEUROLOGY;Neurology;"Conduite à tenir; Convulsion; Epilepsie; Pathologie du   système nerveux; Télévision";http://cat.inist.fr/?aModele=afficheN&cpsidt=24560324
PASCAL/FRANCIS:11-0404260;TROUBLE DANS LA FICTION. EFFETS DE RÉEL DANS LES SÉRIES TÉLÉVISÉES CONTEMPORAINES ET POSTTÉLÉVISION;2010;GLEVAREC (Hervé);FRANCE;Questions de communication : (Nancy);1633-5961;;18;;Français;<Resume>Les séries télévisées contemporaines, particulièrement les séries américaines, ont transformé le rapport entre le monde d'un côté et la fiction de l'autre, non pas en resserrant ce lien au profit du réalisme, mais en créant un niveau propre, leur niveau de réalité. Le trouble qu'elles provoquent pour certains spectateurs semble tenir à un rapport particulier de la fiction avec le réel, un rapport de jonction et de contact. Cet article réinvestit la notion barthienne « d'effet de réel » pour en décrire la nature dans la fiction sérielle et teste la pertinence de l'approche générique dans le cas des séries contemporaines apparues depuis les années 90. À partir des trois traits de la grammaire visuelle (et de l'exemple pionnier de la série Urgences), de la temporalité diégétique et du rapport d'inclusion des faits du monde aux séries, il propose de substituer au modèle de la néo-télévision et à son réseau notionnel réalisme - genre - promesses de genre - décodage un modèle de la post-télévision articulant effet de réel - cadre d'interprétation - horizon d'attente et enquête. C'est donc la spécificité du régime fictionnel sériel contemporain de s'inscrire de façon spécifique dans le monde et d'appeler un modèle de réception fondée sur l'enquête et le « travail » du récepteur plutôt que sur le décodage qui est ici défendue.</Resume>;SCIENCES AND TECHNIQUES OF GENERAL USE;Sciences and Techniques of General Use;INFORMATION SCIENCE. DOCUMENTATION;Information Science. Documentation;"Effet de réel; Sociologie de la communication; Série télévisée";http://questionsdecommunication.revues.org/405
PASCAL/FRANCIS:11-0365693;Telenovelas et débats sociaux: La fiction comme espace public de discussion au Brésil : DE L'ANTHROPOLOGIE VISUELLE;2011;PERREAU (Elodie);FRANCE;L' Homme : (Paris. 1961);0439-4216;198-199;;51-66;Français;<Resume>La diffusion des telenovelas, feuilletons télévisés programmés six jours sur sept, pendant huit mois, provoque des discussions d'ampleur nationale au Brésil. Depuis la dictature militaire (1964-1985), les scénaristes ont dépassé les critiques de la télévision comme divertissement assimilé à une sous-culture. L'auteur s'attache à analyser le processus de création d'une telenovela, en détaillant le travail d'écriture des scénarios à l'échelle du pays. En dramatisant le quotidien, les scénaristes créent un espace public original de discussions dans lequel les Brésiliens jugent les personnages constituant un véritable tribunal populaire. Au cours des débats qui accompagnent l'écriture, les acteurs sociaux appellent les spectateurs à réfléchir aux enjeux de la représentation. À partir des polémiques, les scénaristes transforment le scénario.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Discussion; Dramatisation; Débat; Espace public; Fiction; Mélodrame; Représentation; Scénario; Société; Série télévisée; Amérique du Sud; Brésil";http://www.cairn.info/article.php?ID_ARTICLE=LHOM_198_0051
PASCAL/FRANCIS:11-0252489;"""CHE VAI A BALLARE IL FLAMENCO?"" IL CHE POLIVALENTE NELL'ITALIANO COLLOQUIALE";2008;MESSINA (Simona);;Studi italiani di linguistica teorica ed applicata;0390-6809;37;2;403-437;Italien;"<Resume>In this paper I want to present some questions related to polyvalent ""che"" in a corpus taken from two TV series broadcasted by RAI: Lafamiglia Benvenuti (1968) and Un medico in famiglia (1998). The analysis of the polyvalent ""che"" proved problematic on account of the range of interpretations which scholars attribute to the phenomenon, arising from the ambiguity of this particle which makes it impossible to draw up a stable repertoire. Thus bearing in mind that the classification may be questionable and subject to revision and correction, eleven cases were identified in the corpus: 1. Che in imperative structure; 2. Che interrogative operator; 3. Che in non-standard interrogative clause; 4. Che followed by an adjective in exclamation clause; 5. Che pleonastic in exclamation clause; 6. Che with interrogative expression come mai and che pleonastic in expressions like quando che, siccome che ecc.; 7. Che causal; Che temporal; Che in consecutive sentences without antecedent; 8. Che in temporal expression; 9. Che in cleft sentence; 10. Che in non-standard relative clause; 11. Che non-classifiable. While some types could be eliminated from the structure, at least formally, without a loss of meaning (viz. che as interrogative operator), others could be replaced by other conjunctions such as the che with temporal value, and still others corrected with the inflected form of the relative and with an appropriate conjunction. Moreover, some uses of the che such as ellipsis and as a substitute for the temporal conjunction have come to form part of neo-standard Italian, meaning the variety of written and spoken Italian which has absorbed features which were once severely censured by grammarians. Other uses, on the other hand, such as the pleonastic che in expressions like quando che, come che, or che with the meaning of quanto or perché, continue to be markers of lower class registers which oscillate between the informal, careless informal and popular.</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Feuilleton télévisé; Italien; Linguistique de corpus; Particule";
PASCAL/FRANCIS:11-0242274;Alienation techniques in screen translation : The role of culture specifics in the reconstruction of target-culture discourse;2008;VALDEON (Roberto A.);SPAIN;Languages in contrast;1387-6759;8;2;208-234;Anglais;"<Resume>This paper presents a critical approach to the translation of cultural items in the Spanish dubbed version of the American sitcom Will Grace. The paper starts with a presentation of domestication and foreignization (Venuti 1995). The former is discussed in connection with the choices made in the target texts. I, then, introduce the term ""alienation"" as another strategy used to render culture specificities. In the second section I examine the key comical elements present in the scripts, in which cultural allusions also play a significant role. Section three explores how these culturally anchored lexical items are rendered in the Spanish version, establishing a taxonomy that includes preservation of international items, preservation of culture-specific items, substitution with a different source-culture item, substitution with an international item, substitution with a target-culture item, substitution with corrupted forms of target-culture items and substitution with a superordinate. The use and translation of expletives as elements unique to a language and culture are also covered. The final section discusses the transition from domestication to alienation.</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Anglais Langue source; Comédie de situation; Culture; Espagnol Langue cible; Substitution; Traduction";http://dx.doi.org/10.1075/lic.8.2.05val
PASCAL/FRANCIS:11-0235734;Political Satire and British-American Relations in Five Decades of Doctor Who;2010;DIPAOLO (Marc Edward);;Journal of popular culture;0022-3840;43;5;964-987;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Américain; Antiaméricanisme; Culture populaire; Folk culture; Réception culturelle; Satire politique; Série télévisée; Europe occidentale; Grande-Bretagne";http://dx.doi.org/10.1111/j.1540-5931.2010.00782.x
PASCAL/FRANCIS:11-0229336;Situation Comedies Imitate Life: Jewish and Italian-American Women on Prime Time;2010;"LEEBRON (Elizabeth J.); RUGGIERI (Dominique G.)";UNITED STATES;Journal of popular culture;0022-3840;43;6;1266-1281;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Américain; Comédie de situation; Emission télévisée; Femme; Italien; Juif; Sitcom; Amérique du Nord; Etats-Unis";http://dx.doi.org/10.1111/j.1540-5931.2010.00799.x
PASCAL/FRANCIS:11-0229005;"""A Bookkeeper, Not an Accountant"": Representing the Lower Middle Class from Victorian Novels and Music-Hall Songs to Television Sitcoms";2011;BANVILLE (Scott D.);UNITED STATES;Journal of popular culture;0022-3840;44;1;16-36;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Chanson; Comédie de situation; Music-hall; Petite bourgeoisie; Représentation; Sitcom; Télévision; Victorien; Angleterre; Europe occidentale";http://dx.doi.org/10.1111/j.1540-5931.2010.00817.x
PASCAL/FRANCIS:11-0228990;Nationalism and Gender: The 1970s, The Six Million Dollar Man, and The Bionic Woman;2011;JENKINS (Tricia);UNITED STATES;Journal of popular culture;0022-3840;44;1;93-113;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Culture populaire; Cyborg; Folk culture; Genre; Idéologie; Nationalisme; Représentation; Science fiction; Série télévisée; Technologie; Amérique du Nord; Etats-Unis";http://dx.doi.org/10.1111/j.1540-5931.2010.00821.x
PASCAL/FRANCIS:11-0228989;Return of the Lost Spaceman: America's Astronauts in Popular Culture, 1959-2006;2011;HERSCH (Matthew H.);UNITED STATES;Journal of popular culture;0022-3840;44;1;73-92;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Astronaute; Cinéma; Culture populaire; Folk culture; NASA; Perception; Représentation; Série télévisée; Amérique du Nord; Etats-Unis";http://dx.doi.org/10.1111/j.1540-5931.2010.00820.x
PASCAL/FRANCIS:11-0146582;Synching and swimming naturally on the side : the translation of hesitation in dubbing;2007;ROMERO FRESCO (Pablo);;Linguistica antverpiensia;0304-2294;6;;185-202;Anglais;<Resume>The traditional consideration of audiovisual translation (A VT) as constrained translation has brought about, in the particular case of dubbing, a great deal of research on the different synchronies at play in this type of translation to the detriment of other equally essential issues such as the naturalness of dubbed dialogue. The aim of this study is to analyse the use of hesitation markers in dubbing in order to look precisely at the naturalness of dubbed dialogue while taking into account the audiovisual constraints. This analysis is carried out by comparing the dubbed dialogue (English-Spanish) of a popular American sitcom to the non-translated but prefabricated dialogue of a Spanish sitcom and finally to spontaneous conversation in Spanish. It is suggested that an approach focusing on the specificity of AVT rather than on its constraints enables not only the analysis of naturalness in dubbed dialogue but also the consideration of factors that can be as revealing as the audiovisual constraint, namely audiovisual leeway.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Analyse de corpus; Anglais; Comédie de situation; Discours spontané; Doublage; Espagnol; Moyen audiovisuel; Naturalité; Traduction";https://lans-tts.uantwerpen.be/index.php/LANS-TTS/article/view/187/118
PASCAL/FRANCIS:11-0105973;Actor-independent action search using spatiotemporal vocabulary with appearance hashing;2011;"HONGXUN YAO; RONGRONG JI; XIAOSHUAI SUN";CHINA;Pattern recognition;0031-3203;44;3;624-638;Anglais;"<Resume>Human actions in movies and sitcoms usually capture semantic cues for story understanding, which offer a novel search pattern beyond the traditional video search scenario. However, there are great challenges to achieve action-level video search, such as global motions, concurrent actions, and actor appearance variances. In this paper, we introduce a generalized action retrieval framework, which achieves fully unsupervised, robust, and actor-independent action search in large-scale database. First, an Attention Shift model is presented to extract human-focused foreground actions from videos containing global motions or concurrent actions. Subsequently, a spatiotemporal vocabulary is built based on 3D-SIFT features extracted from these human-focused action regions. These 3D-SIFT features offer robustness against rotations and viewpoints. And the spatiotemporal vocabulary guarantees our search efficiency, which is achieved by inverted indexing structure with approximate nearest-neighbor search. In the online ranking, we employ dynamic time warping distance to handle the action duration variances, as well as partial action matching. Finally, an appearance hashing strategy is presented to address the performance degeneration caused by divergent actor appearances. For experimental validation, we have deployed actor-independent action retrieval framework in 3-season ""Friends"" sitcoms (over 30 h). In this database, we have reported the best performance (MAP@1 > 0.53) with comparisons to alternative and state-of-the-art approaches.</Resume>";APPLIED SCIENCES;Applied Sciences;TELECOMMUNICATIONS AND INFORMATION THEORY;Telecommunications and Information Theory;"Analyse sémantique; Avant plan; Base de données; Classification non supervisée; Classification signal; Etat actuel; Evaluation performance; Extraction caractéristique; Hachage; Indexation; Plus proche voisin; Recherche information; Robustesse; Simulation Time Warp; Traitement en ligne; Traitement signal; Vocabulaire";http://dx.doi.org/10.1016/j.patcog.2010.08.022
PASCAL/FRANCIS:11-0071816;The reality of hand hygiene compliance in two Finnish hospitals based on watching and analysing two hospital reality television series;2011;"ANTTILA (V.-J.); HINTIKKA (A.); KAINULAINEN (K.)";FINLAND;The Journal of hospital infection;0195-6701;77;1;86-87;Anglais;;MEDICAL SCIENCES;Medical Sciences;INFECTIOUS DISEASES;Infectious Diseases;"Hygiène; Hôpital; Infection; Observance; Santé publique; Finlande";http://dx.doi.org/10.1016/j.jhin.2010.09.013
PASCAL/FRANCIS:11-0056701;Crime Scene Investigation: The Chief Inspectors' Display Rules;2010;"FINGER (Juliane); SCHWAB (Frank); UNZ (Dagmar C.)";GERMANY;Sex roles;0360-0025;62;11-12;798-809;Anglais;"<Resume>Television as one factor in the ""cycle of role division"" (Eagly 1987; Shields 2002) can aid to perpetuate traditional role attitudes as well as set new norms. The aim of the study is to examine gender differences in facial expression of emotion on TV as well as changes of these differences over time. A content analysis of 12 episodes of a prominent German crime series from two time samples (1979-1981 / 2005) was done by employing the Emotional Facial Action Coding System (EmFACS, Friesen and Ekman 1983). Results show that there are gender differences in stereotypically male emotions: Male actors express these emotions significantly more frequently than female actors, while the latter show more ""social smiles"". These differences are reduced over time.</Resume>";FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY;Fundamental and Applied Biological Sciences. Psychology;PSYCHOLOGY. PSYCHOPHYSIOLOGY;Psychology. Psychophysiology;"Analyse contenu; Analyse qualitative; Emotion émotivité; Expression des émotions; Film; Homme; Monde Ouest; Rôle sexuel; Sexe; Stéréotype; Télévision";http://dx.doi.org/10.1007/s11199-009-9722-5
PASCAL/FRANCIS:10-0510994;SLOVENIAN SITCOM AND THE CONSTRUCTION OF OTHERNESS;2010;JONTES (Dejan);SLOVENIA;Cultural studies;0950-2386;24;5;716-728;Anglais;<Resume>The paper deals with the representations of Otherness in Slovenian situation comedies which started to proliferate after the changes in the local media system, that is with commercialization in the 1990s. Two commercially most successful sitcoms are analyzed. Drawing on the critical approach to humor it is highlighted why the humor in analyzed sitcoms is not subversive but with constant mocking and stereotyping of outsiders serves to reinforce existing social order and moral boundaries. Humorous situations are usually built on the simple oppositions between Slovenians and the Others. To oppose the 'insiders', usually of Slovenian origin, male and heterosexual, different 'outsiders' are created and represented stereotypically, mostly on the basis of their different ethnical background (e.g. a cleaning lady from Bosnia). So, these texts help to maintain the imbalance between the categories of Slovenians and non-Slovenians, and are thus highly political and - because of the self presentation as 'only comedies', used just for fun and entertainment - highly ideological.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Altérité; Autre; Comédie de situation; Construction; Homosexualité; Humour; Identité nationale; Représentation; Sitcom; Stéréotype; Série télévisée; Europe méridionale; Slovénie";http://dx.doi.org/10.1080/09502380903546968
PASCAL/FRANCIS:10-0496767;Graphical Representations of a Television Series: A Study with Deaf and Hearing Adolescents;2010;"CAMBRA (Cristina); LEAL (Aurora); SILVESTRE (Núria)";SPAIN;The Spanish journal of psychology;1138-7416;13;2;765-776;Anglais;<Resume>The understanding of a television story can be very different depending on the age of the viewer, their background knowledge, the content of the programme and the way in which they combine the information gathered from linguistic, audio and visual elements. This study explores the different ways of interpreting an audiovisual document considering that, due to a hearing impaired, visual, audio and linguistic information could be perceived very differently to the way it is by hearing people. The study involved the participation of 20 deaf and 20 hearing adolescents, aged 12 to 19 years who, after watching a fragment of a television series, were asked to draw a picture of what had happened in the story. The results show that the graphical representation of the film is similar for both groups in terms of the number of scenes, but there is greater profusion, in the deaf group, of details about the context and characters, and there are differences in their interpretations of some of the sequences in the story.</Resume>;"FUNDAMENTAL AND APPLIED BIOLOGICAL SCIENCES. PSYCHOLOGY; MEDICAL SCIENCES";"Fundamental and Applied Biological Sciences. Psychology; Medical Sciences";"OTORHINOLARYNGOLOGY. STOMATOLOGY; PSYCHOLOGY. PSYCHOPHYSIOLOGY";"Otorhinolaryngology. Stomatology; Psychology. Psychophysiology";"Adolescent; Audition; Dessin; Programme télévision; Surdité; Série télévisée; Télévision";http://cat.inist.fr/?aModele=afficheN&cpsidt=23313286
PASCAL/FRANCIS:10-0479547;Schemata, scripts and the gay issue in contemporary dubbed sitcoms;2010;VALDEON (Roberto A.);SPAIN;Target : (Amsterdam);0924-1884;22;1;71-93;Anglais;"<Resume>L'article étudie les options suivies dans le traitement de termes tels que 'gay', 'homosexual', 'queer' et 'fag' dans le doublage en espagnol de la comédie de situation américaine Will & Grace. Je discute d'abord les lignes de force du programme avant de passer aux recherches relatives à la question de l'homosexualité en 'Translation Studies'. Après une présentation de l'approche de Fairclough face au discours, je discute les concepts de 'schémas' et de 'scénario' en les rattachant à l'""identité"". Ensuite vient l'évolution des notions de 'gay', 'homosexual', 'queer' et 'fag' (Hughes 1991; Allan et Burridge 2006); puis il s'agit des options prioritaires dans le programme des sélections, dans l'original comme dans la version espagnole. En termes d'équivalence au niveau du mot, c'est l'approche de Baker (1992) qui est exploitée afin de déterminer la pertinence de termes négatifs tels que ""marica"" et 'maricon comme substituts de 'gay'. L'étude finit en examinant à quel point la connotation péjorative et les sous-entendus traditionnels sont, en fin de compte, maintenus.</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Doublage; Homosexualité; Série télévisée; Traduction";http://dx.doi.org/10.1075/target.22.1.05val
